gold_label	sentence1	sentence2
Support	A man with dreads and a guitar, is clapping while performing on stage.	The mans dreads are long
Neutral	A man with dreads and a guitar, is clapping while performing on stage.	Men with dreadlocks are often musicians
Invalidate	Three little girls wearing brown and pick sweaters are walking on the street.	the three girls are having a sleepover and watching a movie
Support	Three little girls wearing brown and pick sweaters are walking on the street.	the girls spot the ice cream stall at the end of the street
Neutral	Three little girls wearing brown and pick sweaters are walking on the street.	the three girls are the best friends and like hanging out together
Invalidate	Two people are performing on a stage, one in front of a microphone, another playing the guitar.	The room is silent and empty.
Support	Two people are performing on a stage, one in front of a microphone, another playing the guitar.	It's the band's biggest show this year.
Neutral	Two people are performing on a stage, one in front of a microphone, another playing the guitar.	The bar has a special offer on mixed drinks.
Invalidate	A long-haired man stands at a microphone playing a pink Hello Kitty guitar.	The long-haired man switches to an acoustic guitar.
Support	A long-haired man stands at a microphone playing a pink Hello Kitty guitar.	One of the long-haired man's bandmates hands him a new pick.
Neutral	A long-haired man stands at a microphone playing a pink Hello Kitty guitar.	Musicians sometimes like to buy unique looking instruments to add to their collection.
Invalidate	A chef, wearing a blue cap, applies additional toppings to a barbecued burger with cheese.	The chef cooks another meal.
Support	A chef, wearing a blue cap, applies additional toppings to a barbecued burger with cheese.	Chef cooks the barbeque for longer for extra taste.
Neutral	A chef, wearing a blue cap, applies additional toppings to a barbecued burger with cheese.	The chef cooks delicious burger.
Invalidate	Family in a living area playing a board game.	The family eats some food in the kitchen.
Support	Family in a living area playing a board game.	All family members are trying to win.
Neutral	Family in a living area playing a board game.	Most people enjoy playing board games.
Invalidate	Two people on the bench are playing a board game while a man sitting on the floor plays guitar.	They are going to have their dinner
Support	Two people on the bench are playing a board game while a man sitting on the floor plays guitar.	They are spending their quality time by doing on interested activities
Neutral	Two people on the bench are playing a board game while a man sitting on the floor plays guitar.	By working on the most attracted tasks
Invalidate	A little boy kisses a little girl on the side of the road.	Audience claps after movie shooting
Support	A little boy kisses a little girl on the side of the road.	He is just following the directions by director
Neutral	A little boy kisses a little girl on the side of the road.	It is amazing seeing children act in movies
Invalidate	Three children play on corn stacks.	Three children sitting on a bench and studying  books
Support	Three children play on corn stacks.	Corn stacks is very huge and dust is flying out of it when children through stones on it.
Neutral	Three children play on corn stacks.	Village side children use to make a model hut with the corn stacks.
Invalidate	A group of football players are playing football.	They are drinking energy drink
Support	A group of football players are playing football.	They are playing football very well.
Neutral	A group of football players are playing football.	They show their individuality in the foot ball game
Invalidate	Children playing in water on a sunny day.	Children's going to the home.
Support	Children playing in water on a sunny day.	Children's enjoy the playing in the water park
Neutral	Children playing in water on a sunny day.	Children's enjoy the playing in the park
Invalidate	The cup is shiny.	that cup is no longer shiny
Support	The cup is shiny.	that is the girl's favorite  cup to have breakfast with
Neutral	The cup is shiny.	the woman bought the cup some time before
Invalidate	A man is using a device to pry open the door of an overturned blue car.	He stole a wallet from the car.
Support	A man is using a device to pry open the door of an overturned blue car.	The man pulls as hard as he can.
Neutral	A man is using a device to pry open the door of an overturned blue car.	Most people don't try to break into cars.
Invalidate	a woman wearing a pink cap riding a bicycle	One women throwing her hair on air
Support	a woman wearing a pink cap riding a bicycle	Yes i am the evidence i even see so its completely true
Neutral	a woman wearing a pink cap riding a bicycle	Hope this is quite correct but not totally having bit doubts
Invalidate	A woman is reading while sitting on a bench on a platform with other people.	The woman gets some food at the snack bar.
Support	A woman is reading while sitting on a bench on a platform with other people.	The woman tries to get through a chapter.
Neutral	A woman is reading while sitting on a bench on a platform with other people.	Most people find reading to be relaxing.
Invalidate	Several people are seen soaking their clothes.	Several people are going to do their other work.
Support	Several people are seen soaking their clothes.	They think it is difficult to soak a clothes winter.
Neutral	Several people are seen soaking their clothes.	These days
Invalidate	Four people playing hockey in an ice rink.	The four people get food at a restaurant.
Support	Four people playing hockey in an ice rink.	The four people battle for the puck.
Neutral	Four people playing hockey in an ice rink.	Most people think hockey is a fun sport.
Invalidate	These girls are in uniforms and are playing field hockey.	The girls play the volleyball now.
Support	These girls are in uniforms and are playing field hockey.	The girls very interested to the play game.
Neutral	These girls are in uniforms and are playing field hockey.	The girls go to sleep at home.
Invalidate	A woman in white shirt and red hate is playing an instrument with other people.	The woman looks desperately for her hat but cannot remember where she left it.
Support	A woman in white shirt and red hate is playing an instrument with other people.	Her hat bobs up and down as she nods her head in sync with the music.
Neutral	A woman in white shirt and red hate is playing an instrument with other people.	The group gathers every week to rehearse new songs.
Invalidate	A young boy and a young girl ride a bicycle down a street, with dirt and small trees around them.	The two people eat some food at a restaurant.
Support	A young boy and a young girl ride a bicycle down a street, with dirt and small trees around them.	The two people try not to crash the bike.
Neutral	A young boy and a young girl ride a bicycle down a street, with dirt and small trees around them.	Bikes are a good way to get exercise.
Invalidate	A climber wearing a red shirt is climbing a rock face on a snowy day.	The climber is at the summit.
Support	A climber wearing a red shirt is climbing a rock face on a snowy day.	Climber is struggling because of the snow.
Neutral	A climber wearing a red shirt is climbing a rock face on a snowy day.	Climbing is a dangerous sport and should not be attempted without training.
Invalidate	A young boy sitting on a blue toilet.	Open faucets flooded the bathroom
Support	A young boy sitting on a blue toilet.	he thinks blue tiles match the environment
Neutral	A young boy sitting on a blue toilet.	It should be interesting to combine wall and bathroom colors
Invalidate	Three men in a boat dangle above the water.	Three men take rest to the home.
Support	Three men in a boat dangle above the water.	Three men enjoy the travel.
Neutral	Three men in a boat dangle above the water.	Three men are probably from Asian countries
Invalidate	Young boy plays with leaves in a green wooded area	The boy takes a nap at home.
Support	Young boy plays with leaves in a green wooded area	He makes a pile of leaves and jumps in them.
Neutral	Young boy plays with leaves in a green wooded area	Playing with leaves is a fun thing most kids do in the fall.
Invalidate	A shirtless man bodysurfs.	The man puts his shirt on.
Support	A shirtless man bodysurfs.	The man hugs the board to make sure he doesn't fall off.
Neutral	A shirtless man bodysurfs.	Body surfing can be a fun hobby.
Invalidate	Boy standing on ledge with an inquisitive look on his face.	The boy is at school and he is learning math.
Support	Boy standing on ledge with an inquisitive look on his face.	The boy is watching the sun set on the ledge.
Neutral	Boy standing on ledge with an inquisitive look on his face.	The boy's sister is walking down the trail.
Invalidate	A group of girls practicing dance moves on a gymnasium court	The girls are walking in the hallway preparing to go their next class.
Support	A group of girls practicing dance moves on a gymnasium court	10 girls are in formation while listening to an upbeat song.
Neutral	A group of girls practicing dance moves on a gymnasium court	The dance competition is one of the most popular events of the school year.
Invalidate	A man smiling for the camera standing in a parking lot.	The man drives home in his car.
Support	A man smiling for the camera standing in a parking lot.	The man makes a bunch of different poses for the camera.
Neutral	A man smiling for the camera standing in a parking lot.	Many people like to take pictures with the cameras on their phone.
Invalidate	Three dogs are running in the water on the beach.	Three dogs are resting in their dog beds.
Support	Three dogs are running in the water on the beach.	The dogs are splashing each other and getting wet.
Neutral	Three dogs are running in the water on the beach.	Three dogs are jumping around each other.
Invalidate	A young child plays with his new light-up toy.	All of the children are asleep in bed.
Support	A young child plays with his new light-up toy.	He is laughing and enjoying himself.
Neutral	A young child plays with his new light-up toy.	Kids have the most active imaginations.
Invalidate	Three dogs race towards the viewer over a lawn.	There are no animals in the lawn.
Support	Three dogs race towards the viewer over a lawn.	They bark and wag their tails as they run.
Neutral	Three dogs race towards the viewer over a lawn.	It's easy to see why dogs are man's best friend.
Invalidate	An African American Male with a black top with the sleeves rolled up holding a white cup with his right hand.	The party was over and everyone has gone home for the night.
Support	An African American Male with a black top with the sleeves rolled up holding a white cup with his right hand.	He sips his drink as he looks around for his friends.
Neutral	An African American Male with a black top with the sleeves rolled up holding a white cup with his right hand.	Responsible drinking is key when attending a party.
Invalidate	A man is getting ready to put a tomato into a plastic bag.	He is going to office
Support	A man is getting ready to put a tomato into a plastic bag.	He will buy some tomatoes
Neutral	A man is getting ready to put a tomato into a plastic bag.	Every day I go to the shops and buy household items
Invalidate	greyhound dogs are running towards camera on a track.	One of them crashes into the camera and the camera gets broken.
Support	greyhound dogs are running towards camera on a track.	They are so angry about something.
Neutral	greyhound dogs are running towards camera on a track.	Have you ever been filming a dog race?
Invalidate	A man in a public road workers uniform sprays water.	He shares his breakfast with his co-workers
Support	A man in a public road workers uniform sprays water.	The man is cleaning the road
Neutral	A man in a public road workers uniform sprays water.	Public workers are always active and finish their work in time
Invalidate	A restaurant in downtown Korea.	All the businesses in downtown Korea got demolished.
Support	A restaurant in downtown Korea.	There is a lot of variety foods with awesome taste available in downtown Korea.
Neutral	A restaurant in downtown Korea.	They are planning to visit downtown Korea.
Invalidate	An elderly man sits in a chair in an alleyway.	The man gets some food in the restaurant.
Support	An elderly man sits in a chair in an alleyway.	The man relaxes in his chair.
Neutral	An elderly man sits in a chair in an alleyway.	Most people enjoy sitting down.
Invalidate	An older woman is working behind a counter at a restaurant.	Old woman is sleeping next to her pet.
Support	An older woman is working behind a counter at a restaurant.	There are many other customers at the restaurant.
Neutral	An older woman is working behind a counter at a restaurant.	Old people continue to work nowadays because the social security benefits are not enough.
Invalidate	Olympian performing on the rings.	The Olympian takes a drink of water.
Support	Olympian performing on the rings.	The performer does a bunch of different holds on the rings.
Neutral	Olympian performing on the rings.	The rings is one of several gymnastics competitions in the Olympics.
Invalidate	Two men, one wearing an orange shirt and the other wearing a blue shirt, run on a track.	Two men are taking rest after their running.
Support	Two men, one wearing an orange shirt and the other wearing a blue shirt, run on a track.	They run fastly.
Neutral	Two men, one wearing an orange shirt and the other wearing a blue shirt, run on a track.	These days
Invalidate	Many people walking around an art exhibit.	They sip wine as they chat about the newest exhibit.
Support	Many people walking around an art exhibit.	It is a sepecial exhibition only for those limited people.
Neutral	Many people walking around an art exhibit.	Painting is an important form of visual expression.
Invalidate	Musician sings into a microphone while playing a guitar.	Audience is giving standing avaiton for the musician
Support	Musician sings into a microphone while playing a guitar.	The guitar music mesmerizing everybody in the hall
Neutral	Musician sings into a microphone while playing a guitar.	Music is the best relaxation for human beigns.
Invalidate	A lady wearing a dark outfit and carrying a white bag is walking along a street.	The lady gets food at a restaurant.
Support	A lady wearing a dark outfit and carrying a white bag is walking along a street.	The lady moves along as quickly as she can.
Neutral	A lady wearing a dark outfit and carrying a white bag is walking along a street.	Most people consider walking a good exercise.
Invalidate	A bird flies low as a businessman walks down the street.	A bird is sitting on a branch of a tree.
Support	A bird flies low as a businessman walks down the street.	A bird is flying very low.
Neutral	A bird flies low as a businessman walks down the street.	Birds come to residential are in search of their food.
Invalidate	One women in black jeans and a bikini throws her hand in the air while on the beach.	A woman is driving to a store to buy suglasses.
Support	One women in black jeans and a bikini throws her hand in the air while on the beach.	A woman puts on sunglasses.
Neutral	One women in black jeans and a bikini throws her hand in the air while on the beach.	It's important to apply sunscreen when at the beach.
Invalidate	A man and woman are holding snow cones.	The couple arrives homes after a fun day at the park.
Support	A man and woman are holding snow cones.	Both people's hands are cold from the snow cones.
Neutral	A man and woman are holding snow cones.	Snow cones are a popular summertime treat.
Invalidate	There man on top of an snow covered mountain with a lake behind him.	the man is skiing down the mountain
Support	There man on top of an snow covered mountain with a lake behind him.	the man is admiring the view from atop the mountain
Neutral	There man on top of an snow covered mountain with a lake behind him.	The view from atop a snowy mountain is something very surreal
Invalidate	Two men perform music on the street in front of a brick building.	The weather change
Support	Two men perform music on the street in front of a brick building.	They are playing a blues soung.
Neutral	Two men perform music on the street in front of a brick building.	This area is called the Distillery District
Invalidate	Two martial artist in a competition with a small crowd and a judge watching as one delivers a kick.	An ambulance removes a casualty from the arts martial
Support	Two martial artist in a competition with a small crowd and a judge watching as one delivers a kick.	the judge is watching the kik carefully.
Neutral	Two martial artist in a competition with a small crowd and a judge watching as one delivers a kick.	A lot of people like contact sports
Invalidate	A group of motorcycle riders gather on a street.	The riders all ride to their separate homes.
Support	A group of motorcycle riders gather on a street.	The riders discuss where they want to go.
Neutral	A group of motorcycle riders gather on a street.	Motorcycle riding can be a fun activity for some.
Invalidate	Vocalist singing into a microphone.	The vocalist eats food back stage.
Support	Vocalist singing into a microphone.	The vocalist sings her favorite songs.
Neutral	Vocalist singing into a microphone.	Vocalists love to warm up before performing.
Invalidate	A man is playing the saxophone.	Man has left the event
Support	A man is playing the saxophone.	Drum beats are competing with that of saxophone
Neutral	A man is playing the saxophone.	Great coordination is needed to have a sync between drum beats and saxophone
Invalidate	Children playing and fishing on a beach.	Adults watered the pool for their kids
Support	Children playing and fishing on a beach.	Little Johnny and Sally are having fun on the beach
Neutral	Children playing and fishing on a beach.	Pancho cooked tacos so good today!
Invalidate	A handicapped man dressed in blue holding the lead in a wheelchair race versus several other paraplegic athletes.	A gold medal is presented to the winner.
Support	A handicapped man dressed in blue holding the lead in a wheelchair race versus several other paraplegic athletes.	Several people are cheering the handicapped man.
Neutral	A handicapped man dressed in blue holding the lead in a wheelchair race versus several other paraplegic athletes.	We should admire the self confidence of paraplegic athletes.
Invalidate	A group of children playing a game outside.	The tired children are eating pizza and watching TV.
Support	A group of children playing a game outside.	The children are laughing in the sunshine as they run around each other.
Neutral	A group of children playing a game outside.	Children love to play outside in the summer but they get very dirty if they play in the mud.
Invalidate	A little boy makes a makeshift shop out of chairs and his toys.	The little boy is putting away the toys.
Support	A little boy makes a makeshift shop out of chairs and his toys.	Today's playing is to make a make-believe supermarket.
Neutral	A little boy makes a makeshift shop out of chairs and his toys.	Large toy pieces are great for young children.
Invalidate	The brown and white dog swims in a swimming pool.	The dog takes a nap in his dog house.
Support	The brown and white dog swims in a swimming pool.	The dog paddles as quickly as he can.
Neutral	The brown and white dog swims in a swimming pool.	Most dogs like playing in the water.
Invalidate	Children are playing under an umbrella in a body of water.	Children are now going home.
Support	Children are playing under an umbrella in a body of water.	Children are having fun.
Neutral	Children are playing under an umbrella in a body of water.	Popcorn is a good snack at the theater.
Invalidate	Five children playing soccer.	They are going to home
Support	Five children playing soccer.	Five kids play football a little harder
Neutral	Five children playing soccer.	I play football these days
Invalidate	A group of people riding camels with red seat covers along a sandy shore, and three people are on foot.	Although they were very tired
Support	A group of people riding camels with red seat covers along a sandy shore, and three people are on foot.	It is hard to ride on the camels but the tourists are mesmerized by the beauty of the beach
Neutral	A group of people riding camels with red seat covers along a sandy shore, and three people are on foot.	Some people are afraid of riding camels but it is quite safe because the shepherds are very experienced.
Invalidate	A brown and white dog is licking a small brown terrier.	The owner is checking his post box - nothing inside.
Support	A brown and white dog is licking a small brown terrier.	They seem to love each other
Neutral	A brown and white dog is licking a small brown terrier.	This garage is typical for urban areas in the Midwest.
Invalidate	An Indian market, a man in white is sorting through vegetables.	The man had really enjoyed his Dinner of India cuisine.
Support	An Indian market, a man in white is sorting through vegetables.	Dressed in all white
Neutral	An Indian market, a man in white is sorting through vegetables.	The man in White seemed to be looking for something in the Indian market.
Invalidate	a boy and a woman walk into the ocean.	She is holding him as he is attempting to swim
Support	a boy and a woman walk into the ocean.	Both of them are rolling their pants up
Neutral	a boy and a woman walk into the ocean.	It is a joy to play at beach
Invalidate	These girls are in uniforms and are playing field hockey.	This woman will go home and help her mom
Support	These girls are in uniforms and are playing field hockey.	They find playing hockey is very difficult
Neutral	These girls are in uniforms and are playing field hockey.	Nowadays Practiced in hockey sports team in play ground
Invalidate	Two ladies in tank tops are singing into a microphone, they both have dark hair and one is white and the other African American.	The next day
Support	Two ladies in tank tops are singing into a microphone, they both have dark hair and one is white and the other African American.	This open mic night could be their big break.
Neutral	Two ladies in tank tops are singing into a microphone, they both have dark hair and one is white and the other African American.	Their outfits matching was a happy coincidence.
Invalidate	A woman slides down a purple water slide with a small boy on her lap into a pool.	The two people get some food at a restaurant.
Support	A woman slides down a purple water slide with a small boy on her lap into a pool.	The two people go down as fast as they can.
Neutral	A woman slides down a purple water slide with a small boy on her lap into a pool.	Most people enjoy using water slides.
Invalidate	I young girl is blowing a bubble with gum.	The girl gets some food in the kitchen.
Support	I young girl is blowing a bubble with gum.	The girl tries to make it as big as she can.
Neutral	I young girl is blowing a bubble with gum.	Most people like to chew gum.
Invalidate	A man in costume drums in a parade.	The man drives home from the parade.
Support	A man in costume drums in a parade.	He plays his favorite song while dressed as his favorite musician.
Neutral	A man in costume drums in a parade.	Music often accompanies parades around the country.
Invalidate	A worker on a ship is looking off into the sea while tying a knot in a rope.	He is going to have lunch
Support	A worker on a ship is looking off into the sea while tying a knot in a rope.	He moves into the aquatic region during a tangle in a flexible heavy cord.
Neutral	A worker on a ship is looking off into the sea while tying a knot in a rope.	The people should be very careful when moves into the aquatic region.
Invalidate	A California Golden Bear quarterback falls to the ground after he throws the ball to his receiver who is pursued by the Stanford defense.	a quaterback queues for dinner at the cafeteria
Support	A California Golden Bear quarterback falls to the ground after he throws the ball to his receiver who is pursued by the Stanford defense.	it is a very difficult day for the quarterback
Neutral	A California Golden Bear quarterback falls to the ground after he throws the ball to his receiver who is pursued by the Stanford defense.	quaterbacks are the key in any match
Invalidate	A girl is using a slingshot.	The girls eats some food in her kitchen.
Support	A girl is using a slingshot.	The girl fires her tool at a bird.
Neutral	A girl is using a slingshot.	Slingshots can be dangerous in the wrong hands.
Invalidate	Two men are looking at meat that is set out on a table while taking notes.	One of the men is typing his notes up on his PC
Support	Two men are looking at meat that is set out on a table while taking notes.	The food on the table is steaming hot
Neutral	Two men are looking at meat that is set out on a table while taking notes.	It's difficult to concentrate writing notes when there is food to be eaten
Invalidate	A young girl is laying in the grass posing for the camera	The cameraman is now eating and he is done with the job
Support	A young girl is laying in the grass posing for the camera	The girl strikes some glamourous poses
Neutral	A young girl is laying in the grass posing for the camera	The camera is a canon
Invalidate	two children posing for a picture with one making a face	The two children are sleeping
Support	two children posing for a picture with one making a face	The mother is telling the child to not make a face
Neutral	two children posing for a picture with one making a face	Children usually like to make faces while posing to pictures
Invalidate	A man in blue jeans is reaching for something on a truck.	He picked up his hat
Support	A man in blue jeans is reaching for something on a truck.	He is wondering where he left it
Neutral	A man in blue jeans is reaching for something on a truck.	Hat on informals gives a nice look
Invalidate	A woman in black converse walks down the sidewalk on a cold day.	The woman goes approaches a grocery store on the street and enters.
Support	A woman in black converse walks down the sidewalk on a cold day.	The woman wear black pants to match her shoes
Neutral	A woman in black converse walks down the sidewalk on a cold day.	It's important to wear comfortable shoes for walking.
Invalidate	Two musicians are playing a duet one on a harp and the other on a violin.	the concert is over and people is going home
Support	Two musicians are playing a duet one on a harp and the other on a violin.	they're playing a difficult piece of classical music
Neutral	Two musicians are playing a duet one on a harp and the other on a violin.	concert tickets were expensive but it was worth it
Invalidate	Young women playing a intense game of lacrosse.	The women go to a restaurant for food.
Support	Young women playing a intense game of lacrosse.	The women all are trying to win.
Neutral	Young women playing a intense game of lacrosse.	Most people think lacrosse can be dangerous.
Invalidate	Three young kids are all tangled up together and playing on a big rug.	All three kids take a nap in their rooms.
Support	Three young kids are all tangled up together and playing on a big rug.	The kids laugh as they try to untangle themselves.
Neutral	Three young kids are all tangled up together and playing on a big rug.	Most kids enjoy playing on the ground and with each other.
Invalidate	A woman washes pans and dishes in a murky body of water.	The women goes to bed.
Support	A woman washes pans and dishes in a murky body of water.	The women cleans up after supper.
Neutral	A woman washes pans and dishes in a murky body of water.	The women was in the kitchen.
Invalidate	A man plays tennis dressed in U of Miami colors.	The tennis courts are closed.
Support	A man plays tennis dressed in U of Miami colors.	The man begins playing against a U of Alabama player.
Neutral	A man plays tennis dressed in U of Miami colors.	The tennis court is cleaned.
Invalidate	A blond woman in a blue shirt appears to wait for a ride.	the ride never showed up and she had to walk
Support	A blond woman in a blue shirt appears to wait for a ride.	She is getting bored.
Neutral	A blond woman in a blue shirt appears to wait for a ride.	they are headed to the party
Invalidate	Construction workers are at a job site looking at something.	Construction workers are eating lunch.
Support	Construction workers are at a job site looking at something.	Construction workers are taking instructions from the engineer.
Neutral	Construction workers are at a job site looking at something.	Working in the construction industry is stressful.
Invalidate	A young couple play in a fountain.	The two lovebirds go home to relax.
Support	A young couple play in a fountain.	The water cascading over them onto the ground.
Neutral	A young couple play in a fountain.	The park is open for people to come with their families.
Invalidate	A little girl outside playing.	The girls takes a nap in her bed.
Support	A little girl outside playing.	The girl runs around in the grass.
Neutral	A little girl outside playing.	Most kids love playing outside.
Invalidate	There are four snowboarders going off a jump and that are in the air.	The snowboarders eat food at a restaurant.
Support	There are four snowboarders going off a jump and that are in the air.	The snowboarders leap as high as they can.
Neutral	There are four snowboarders going off a jump and that are in the air.	Most people think snowboarding is dangerous.
Invalidate	A woman is hitting a tennis ball.	A woman left the tennis court.
Support	A woman is hitting a tennis ball.	The woman is winning the tennis match.
Neutral	A woman is hitting a tennis ball.	Women enjoy tennis at home and at a club.
Invalidate	Two people wearing winter jackets in the railway station are about to get into train.	The people eat food at a restaurant.
Support	Two people wearing winter jackets in the railway station are about to get into train.	The people take their steps to get on the train.
Neutral	Two people wearing winter jackets in the railway station are about to get into train.	Most people have ridden a train in their life.
Invalidate	A black dog runs through a field.	The dog rests in his dog house.
Support	A black dog runs through a field.	The dog sprints as fast as he can.
Neutral	A black dog runs through a field.	Most dogs like running outside.
Invalidate	Two kids standing between two red cars.	Two kids walking away from the car
Support	Two kids standing between two red cars.	standing between two cars looks dengerous.
Neutral	Two kids standing between two red cars.	This is very interested to kids
Invalidate	Three individuals are playing a game of Monopoly.	The three friends agree to go to the bar after the NBA game to drink some beer.
Support	Three individuals are playing a game of Monopoly.	The individuals set up the pieces to started the monopoly game.
Neutral	Three individuals are playing a game of Monopoly.	They were eating your dinner watching TV.
Invalidate	A couple taking a picture together smiling with sunglasses appropriate for the very sunny weather captured by the photographer.	The photo looks absolutely beautiful.
Support	A couple taking a picture together smiling with sunglasses appropriate for the very sunny weather captured by the photographer.	They must be in a good relationship
Neutral	A couple taking a picture together smiling with sunglasses appropriate for the very sunny weather captured by the photographer.	The soft breeze and slight smell of linen really brought it all together.
Invalidate	Chubby redhead child reads birthday card.	The chubby child is sleeping in is room
Support	Chubby redhead child reads birthday card.	The child is very happy reading his card
Neutral	Chubby redhead child reads birthday card.	Children tend to enjoy their birthdays and birthday cards more than adults
Invalidate	A large dog and a small one walk with their toys.	the big dog has lost his one and started barking
Support	A large dog and a small one walk with their toys.	the     man walks the two dogs
Neutral	A large dog and a small one walk with their toys.	a dog passed by and started barking
Invalidate	A man in lime jacket and red hat jogs on an empty road.	A man is reading the newspaper.
Support	A man in lime jacket and red hat jogs on an empty road.	A man is wiping perspiration off of his forehead.
Neutral	A man in lime jacket and red hat jogs on an empty road.	It's good to wear bright colors when you are in the street.
Invalidate	An Oklahoma football player attempts to kick the ball.	But the Alabama player have the ball on his hands.
Support	An Oklahoma football player attempts to kick the ball.	Oh my god 
Neutral	An Oklahoma football player attempts to kick the ball.	The focus of the football game is to have the ball on the hands.
Invalidate	A man wearing a striped pink shirt is taking a picture.	The man takes his stupid shirt off for bed.
Support	A man wearing a striped pink shirt is taking a picture.	He poses for several different types of pictures.
Neutral	A man wearing a striped pink shirt is taking a picture.	Most people enjoy taking photos of themselves.
Invalidate	group of people riding horses on a sunny day	The group of men and women are hiking at a park.
Support	group of people riding horses on a sunny day	The saddles were properly secured on the horses backs.
Neutral	group of people riding horses on a sunny day	Horses are properly groomed
Invalidate	Lady sings and plays the cello with emotion.	Lady is taking a walk.
Support	Lady sings and plays the cello with emotion.	Lady turns the page of the music.
Neutral	Lady sings and plays the cello with emotion.	Lady is wearing a sweater.
Invalidate	A child painting a picture.	A child brushing their teeth
Support	A child painting a picture.	A parent getting out paint
Neutral	A child painting a picture.	The child was very artistic
Invalidate	A band is playing a guitar and singing in a recording studio.	The song is released soon
Support	A band is playing a guitar and singing in a recording studio.	The producer gives some advice
Neutral	A band is playing a guitar and singing in a recording studio.	Music is not limited by language 
Invalidate	Several men sit while banging on a bongo.	The men are warming there hands at a fireplace.
Support	Several men sit while banging on a bongo.	This is called music.
Neutral	Several men sit while banging on a bongo.	There will be many festivals this year.
Invalidate	A man and woman are kissing while the man holds the leash of a dog.	Afterwards both will go back to their families - each to their own
Support	A man and woman are kissing while the man holds the leash of a dog.	The people around them are surprised.
Neutral	A man and woman are kissing while the man holds the leash of a dog.	The favorite color seems to be white.
Invalidate	People are crosscountry skiing in a single file line.	All people eat food at the snack bar.
Support	People are crosscountry skiing in a single file line.	The people try to navigate the white powder quickly.
Neutral	People are crosscountry skiing in a single file line.	Most people think skiing is a good form of exercise.
Invalidate	Three little girls wearing brown and pick sweaters are walking on the street.	The river has overflowed its banks and flooded the street.
Support	Three little girls wearing brown and pick sweaters are walking on the street.	Their shoes are match their sweaters.
Neutral	Three little girls wearing brown and pick sweaters are walking on the street.	Their hair ribbons are the same colours.
Invalidate	A couple relax and chat on a park bench while enjoying a scenic fall view of the landscape, framed by the trunks of trees.	they soon had to leave because dinner was ready
Support	A couple relax and chat on a park bench while enjoying a scenic fall view of the landscape, framed by the trunks of trees.	They are taking the pictures of it.
Neutral	A couple relax and chat on a park bench while enjoying a scenic fall view of the landscape, framed by the trunks of trees.	the man decided to propose that day there
Invalidate	Some men and women drink wine while watching television.	The people eat some food in the kitchen.
Support	Some men and women drink wine while watching television.	The people try to get drunk.
Neutral	Some men and women drink wine while watching television.	Most people try to get drunk a lot.
Invalidate	Pedestrians walk in front of an industrial complex.	People are being banned from going through the complex due to the risk of landslides
Support	Pedestrians walk in front of an industrial complex.	There are many people who like to move around the complex
Neutral	Pedestrians walk in front of an industrial complex.	for health it is important to move daily
Invalidate	Three boys playing soccer.	Three boys are won the match.
Support	Three boys playing soccer.	They are enjoying themselves by performing football sport.
Neutral	Three boys playing soccer.	Now a days
Invalidate	A woman in an orange-hooded outfit is sitting with her hand on her face.	Woman is walking on sidwalk.
Support	A woman in an orange-hooded outfit is sitting with her hand on her face.	A woman is talking over phone.
Neutral	A woman in an orange-hooded outfit is sitting with her hand on her face.	Women likes to put their hands on face while sitting.
Invalidate	Three boys are looking through a fence lined with rocks on the opposite side.	Boys are walking along the fence.
Support	Three boys are looking through a fence lined with rocks on the opposite side.	They are looking at wild animals through the fence.
Neutral	Three boys are looking through a fence lined with rocks on the opposite side.	People usually bind fences their lands.
Invalidate	Two dogs run through a field.	The dog is napping by the fireplace.
Support	Two dogs run through a field.	The dogs are fighting over a stick.
Neutral	Two dogs run through a field.	Some dogs like to swim in the lake.
Invalidate	A mud covered cyclist zooms down the trail.	Afterwards the trail is empty and quiet again.
Support	A mud covered cyclist zooms down the trail.	It has been raining all day.
Neutral	A mud covered cyclist zooms down the trail.	These trails are often used for sports.
Invalidate	People sitting at a bench talking to each other by a body of water.	the ambulance takes a person who fell from the bank
Support	People sitting at a bench talking to each other by a body of water.	near the fountain there are benches on which people sit and talk
Neutral	People sitting at a bench talking to each other by a body of water.	Nowadays many people like to sit on benches
Invalidate	Woman and child blowing out a candle on a cupcake in a restaurant.	The people drive home in their car.
Support	Woman and child blowing out a candle on a cupcake in a restaurant.	The two people try to blow as hard as they can.
Neutral	Woman and child blowing out a candle on a cupcake in a restaurant.	Most people enjoy eating cupcakes.
Invalidate	Man and woman cook grilling meats and corn.	They are going to bed
Support	Man and woman cook grilling meats and corn.	They feel some discomfort in cooking the non vegetarian food items as it is taking more time to cook.
Neutral	Man and woman cook grilling meats and corn.	Having the non vegetarian foods that are heated well will help to maintain good health.
Invalidate	A woman is playing the violin and a man is playing the guitar while standing outside, performing for money.	The two people get some food at a restaurant.
Support	A woman is playing the violin and a man is playing the guitar while standing outside, performing for money.	The two people harmonize on their favorite songs.
Neutral	A woman is playing the violin and a man is playing the guitar while standing outside, performing for money.	Most people enjoy listening to music.
Invalidate	A group of people on a bus with colorful flags wave at the people below.	They go their separate ways to return to their homes
Support	A group of people on a bus with colorful flags wave at the people below.	They throw beads to the crowd below and dance to the live music happening all around them.
Neutral	A group of people on a bus with colorful flags wave at the people below.	Busses are a common way for groups of people to travel to events.
Invalidate	a man gives another man a piggyback ride.	the two stop because the man is tired
